Time,X,Y,Vx,Vy,Speed,Fuel,Mass,Angle,Stage
2.200000,0.000003,18.273512,0.000001,17.086898,17.086898,0.116850,0.267000,1.570796,1
2.210000,0.000003,18.445236,0.000001,17.172383,17.172383,0.116700,0.266850,1.570796,1
2.220000,0.000003,18.617815,0.000001,17.257933,17.257933,0.116550,0.266700,1.570796,1
2.230000,0.000003,18.791250,0.000001,17.343548,17.343548,0.116400,0.266550,1.570796,1
2.240000,0.000003,18.965543,0.000001,17.429229,17.429229,0.116250,0.266400,1.570796,1
2.250000,0.000003,19.140692,0.000001,17.514974,17.514974,0.116100,0.266250,1.570796,1
2.260000,0.000003,19.316700,0.000001,17.600783,17.600783,0.115950,0.266100,1.570796,1
2.270000,0.000003,19.493567,0.000001,17.686658,17.686658,0.115800,0.265950,1.570796,1
2.280000,0.000003,19.671293,0.000001,17.772596,17.772596,0.115650,0.265800,1.570796,1
2.290000,0.000003,19.849879,0.000001,17.858599,17.858599,0.115500,0.265650,1.570796,1
2.300000,0.000003,20.029325,0.000001,17.944666,17.944666,0.115350,0.265500,1.570796,1
2.310000,0.000003,20.209633,0.000001,18.030797,18.030797,0.115200,0.265350,1.570796,1
2.320000,0.000003,20.390803,0.000001,18.116991,18.116991,0.115050,0.265200,1.570796,1
2.330000,0.000003,20.572836,0.000001,18.203249,18.203249,0.114900,0.265050,1.570796,1
2.340000,0.000003,20.755732,0.000001,18.289571,18.289571,0.114750,0.264900,1.570796,1
2.350000,0.000003,20.939491,0.000001,18.375956,18.375956,0.114600,0.264750,1.570796,1
2.360000,0.000003,21.124115,0.000001,18.462404,18.462404,0.114450,0.264600,1.570796,1
2.370000,0.000003,21.309604,0.000001,18.548915,18.548915,0.114300,0.264450,1.570796,1
2.380000,0.000003,21.495959,0.000001,18.635489,18.635489,0.114150,0.264300,1.570796,1
2.390000,0.000003,21.683180,0.000001,18.722126,18.722126,0.114000,0.264150,1.570796,1
2.400000,0.000003,21.871269,0.000001,18.808825,18.808825,0.113850,0.264000,1.570796,1
2.410000,0.000003,22.060225,0.000001,18.895587,18.895587,0.113700,0.263850,1.570796,1
2.420000,0.000003,22.250049,0.000001,18.982410,18.982410,0.113550,0.263700,1.570796,1
2.430000,0.000003,22.440742,0.000001,19.069296,19.069296,0.113400,0.263550,1.570796,1
2.440000,0.000003,22.632304,0.000001,19.156244,19.156244,0.113250,0.263400,1.570796,1
2.450000,0.000003,22.824737,0.000001,19.243254,19.243254,0.113100,0.263250,1.570796,1
2.460000,0.000003,23.018040,0.000001,19.330325,19.330325,0.112950,0.263100,1.570796,1
2.470000,0.000003,23.212214,0.000001,19.417457,19.417457,0.112800,0.262950,1.570796,1
2.480000,0.000003,23.407261,0.000001,19.504651,19.504651,0.112650,0.262800,1.570796,1
2.490000,0.000004,23.603180,0.000001,19.591906,19.591906,0.112500,0.262650,1.570796,1
2.500000,0.000004,23.799972,0.000001,19.679222,19.679222,0.112350,0.262500,1.570796,1
2.510000,0.000004,23.997638,0.000001,19.766598,19.766598,0.112200,0.262350,1.570796,1
2.520000,0.000004,24.196179,0.000001,19.854036,19.854036,0.112050,0.262200,1.570796,1
2.530000,0.000004,24.395594,0.000001,19.941533,19.941533,0.111900,0.262050,1.570796,1
2.540000,0.000004,24.595885,0.000001,20.029091,20.029091,0.111750,0.261900,1.570796,1
2.550000,0.000004,24.797052,0.000001,20.116710,20.116710,0.111600,0.261750,1.570796,1
2.560000,0.000004,24.999096,0.000001,20.204388,20.204388,0.111450,0.261600,1.570796,1
2.570000,0.000004,25.202017,0.000001,20.292126,20.292126,0.111300,0.261450,1.570796,1
2.580000,0.000004,25.405816,0.000001,20.379923,20.379923,0.111150,0.261300,1.570796,1
2.590000,0.000004,25.610494,0.000001,20.467780,20.467780,0.111000,0.261150,1.570796,1
2.600000,0.000004,25.816051,0.000001,20.555696,20.555696,0.110850,0.261000,1.570796,1
2.610000,0.000004,26.022488,0.000001,20.643672,20.643672,0.110700,0.260850,1.570796,1
2.620000,0.000004,26.229805,0.000001,20.731706,20.731706,0.110550,0.260700,1.570796,1
2.630000,0.000004,26.438003,0.000001,20.819799,20.819799,0.110400,0.260550,1.570796,1
2.640000,0.000004,26.647082,0.000001,20.907951,20.907951,0.110250,0.260400,1.570796,1
2.650000,0.000004,26.857044,0.000001,20.996161,20.996161,0.110100,0.260250,1.570796,1
2.660000,0.000004,27.067888,0.000001,21.084429,21.084429,0.109950,0.260100,1.570796,1
2.670000,0.000004,27.279616,0.000001,21.172756,21.172756,0.109800,0.259950,1.570796,1
2.680000,0.000004,27.492227,0.000001,21.261140,21.261140,0.109650,0.259800,1.570796,1
2.690000,0.000004,27.705723,0.000001,21.349582,21.349582,0.109500,0.259650,1.570796,1
2.700000,0.000004,27.920104,0.000001,21.438082,21.438082,0.109350,0.259500,1.570796,1
2.710000,0.000004,28.135370,0.000001,21.526639,21.526639,0.109200,0.259350,1.570796,1
2.720000,0.000004,28.351523,0.000001,21.615254,21.615254,0.109050,0.259200,1.570796,1
2.730000,0.000004,28.568562,0.000001,21.703925,21.703925,0.108900,0.259050,1.570796,1
2.740000,0.000004,28.786488,0.000001,21.792653,21.792653,0.108750,0.258900,1.570796,1
2.750000,0.000004,29.005303,0.000001,21.881438,21.881438,0.108600,0.258750,1.570796,1
2.760000,0.000004,29.225006,0.000001,21.970280,21.970280,0.108450,0.258600,1.570796,1
2.770000,0.000004,29.445597,0.000001,22.059177,22.059177,0.108300,0.258450,1.570796,1
2.780000,0.000004,29.667079,0.000001,22.148131,22.148131,0.108150,0.258300,1.570796,1
2.790000,0.000004,29.889450,0.000001,22.237141,22.237141,0.108000,0.258150,1.570796,1
2.800000,0.000004,30.112712,0.000001,22.326207,22.326207,0.107850,0.258000,1.570796,1
2.810000,0.000004,30.336866,0.000001,22.415328,22.415328,0.107700,0.257850,1.570796,1
2.820000,0.000004,30.561911,0.000001,22.504505,22.504505,0.107550,0.257700,1.570796,1
2.830000,0.000004,30.787848,0.000001,22.593737,22.593737,0.107400,0.257550,1.570796,1
2.840000,0.000004,31.014678,0.000001,22.683024,22.683024,0.107250,0.257400,1.570796,1
2.850000,0.000004,31.242402,0.000001,22.772366,22.772366,0.107100,0.257250,1.570796,1
2.860000,0.000004,31.471019,0.000001,22.861763,22.861763,0.106950,0.257100,1.570796,1
2.870000,0.000004,31.700532,0.000001,22.951214,22.951214,0.106800,0.256950,1.570796,1
2.880000,0.000004,31.930939,0.000001,23.040719,23.040719,0.106650,0.256800,1.570796,1
2.890000,0.000004,32.162242,0.000001,23.130279,23.130279,0.106500,0.256650,1.570796,1
2.900000,0.000004,32.394441,0.000001,23.219893,23.219893,0.106350,0.256500,1.570796,1
2.910000,0.000004,32.627536,0.000001,23.309560,23.309560,0.106200,0.256350,1.570796,1
2.920000,0.000004,32.861529,0.000001,23.399281,23.399281,0.106050,0.256200,1.570796,1
2.930000,0.000004,33.096419,0.000001,23.489055,23.489055,0.105900,0.256050,1.570796,1
